# Kendi eklediginiz kelimeler buraya. Format: latin<TAB>osmanlica<TAB>koken(ar/fa/tr)
# örnek satir: (basindaki # isaretini kaldirip kullanin)
# yeni_kelime	يڭی كلمه	tr
semid	سمید	sozlukler
semil	سمیل	sozlukler
semur	سمور	sozlukler
sena	ثنا	sozlukler
senai	ثنائی	sozlukler
senam	سنام	sozlukler
senderus	سندروس	sozlukler
senne	سنه	sozlukler
sepa	سپا	sozlukler
sepide	سپیده	sozlukler
seramed	سرامد	sozlukler
serare	سراره	sozlukler
serat	سرات	sozlukler
serdade	سرداده	sozlukler
serefraz	سرافراز	sozlukler
serem	ثرم	sozlukler
serencam	سرانجام	sozlukler
serfice	سرفیجه	sozlukler
serhous	سرخس	sozlukler
serik	سریك	sozlukler
sermûze	سرموزه	sozlukler
sername	سرنامه	sozlukler
sertac	سرتاج	sozlukler
sertak	سرطاق	sozlukler
sertîz	سرتیز	sozlukler
serur	سرور	sozlukler
sevahil	سواحل	sozlukler
sevakin	سواكن	sozlukler
sevda	سودا	sozlukler
sevdavi	سوداوی	sozlukler
sevret	ثورت	sozlukler
sevzini	سوزنی	sozlukler
sevâlif	سوالف	sozlukler
seyb	ثیب	sozlukler
seyyân	سیان	sozlukler
seza	سزا	sozlukler
seğr	ثغر	sozlukler
sidad	سداد	sozlukler
siirt	سعرد	sozlukler
sikayet	سقایت	sozlukler
silifke	سلفكه	sozlukler
simab	سیماب	sozlukler
simad	صماد	sozlukler
simak	سماك	sozlukler
simam	صمام	sozlukler
simen	سمن	sozlukler
simya	سیمیا	sozlukler
sinac	سناج	sozlukler
sinmâr	سنمار	sozlukler
siouri	سیوری	sozlukler
sipahi	سپاهی	sozlukler
sipehr	سپهر	sozlukler
sipehsalar	سپهسالار	sozlukler
sircân	سرجان	sozlukler
siroz	سپروز	sozlukler
sit	ست	sozlukler
sitad	ستاد	sozlukler
siva	سوا	sozlukler
siyadet	سیادت	sozlukler
siyahi	سیاهی	sozlukler
siyâhgûş	سیاهگوش	sozlukler
skrapar	اسقراپار	sozlukler
sofia	صوفیه	sozlukler
spire	اسپیره	sozlukler
su'r	سعر	sozlukler
subû'	سبوع	sozlukler
suda'	صداع	sozlukler
sude	سوده	sozlukler
sudur	صدور	sozlukler
sufr	صفر	sozlukler
sufuf	صفوف	sozlukler
suht	سخط	sozlukler
sukuş şüyuh	سوق الشیوخ	sozlukler
sultan evki	سلطان اوكی	sozlukler
sultan hisari	سلطان حصاری	sozlukler
sultaniye	سلطانیه	sozlukler
sumut	صموت	sozlukler
sunuf	صنوف	sozlukler
sutâ'	ثطاع	sozlukler
suğla	صوغله	sozlukler
suğra	صغرا	sozlukler
süfera	سفرا	sozlukler
süfle	سفله	sozlukler
sühür	سهر	sozlukler
sülak	سلاق	sozlukler
sülal	سلال	sozlukler
sülami	سلامی	sozlukler
süleymani	سلیمانی	sozlukler
süleymaniye	سلیمانیه	sozlukler
süleyme	سلیمه	sozlukler
sülvân	سلوان	sozlukler
sümûd	سمود	sozlukler
sümûl	سمول	sozlukler
süneyn	سنین	sozlukler
süriyye	سریه	sozlukler
sürna	سرنا	sozlukler
sütrük	سترك	sozlukler
süveyda	سویدا	sozlukler
süveyk	سویق	sozlukler
sıhâh	صحاح	sozlukler
sımah	صمان	sozlukler
sırm	صرم	sozlukler
ta'b	تعب	sozlukler
ta'kid	تعقید	sozlukler
ta'kir	تعقیر	sozlukler
ta'me	طعمه	sozlukler
ta'tir	تعطیر	sozlukler
ta'tîn	تعطین	sozlukler
tab	تاب	sozlukler
taberiye	طبریه	sozlukler
tabi	طابع	sozlukler
tabtâb	طبطاب	sozlukler
tac	تاج	sozlukler
tadiye	تعدیه	sozlukler
tafakkuh	تفقح	sozlukler
tafta	تافته	sozlukler
tahallül	تخلل	sozlukler
tahammüd	تحمد	sozlukler
tahannüf	تحنف	sozlukler
tahannün	تحنن	sozlukler
tahbil	تحبیل	sozlukler
tahdi'	تخدیع	sozlukler
tahil	طخل	sozlukler
tahine	طاحنه	sozlukler
tahiyyat	تحیت	sozlukler
tahmîm	تحمیم	sozlukler
tahrik	تحریك	sozlukler
tahtit	تخطیط	sozlukler
tahzin	تخزین	sozlukler
tahzî'	تخزیع	sozlukler
taka'ur	تقعر	sozlukler
taksir	تقصیر	sozlukler
taktir	تقطیر	sozlukler
takva	تقوا	sozlukler
takziye	تقضیه	sozlukler
talim	تعلیم	sozlukler
talut	طالوت	sozlukler
tami'	طامع	sozlukler
tamik	تعمیق	sozlukler
tamim	تعمیم	sozlukler
tamir	تعمیر	sozlukler
tamiye	تعمیه	sozlukler
tamturâk	طمطراق	sozlukler
tanca	طنجه	sozlukler
tarafe	طرفه	sozlukler
tarhun	طرخون	sozlukler
tarika	طریقه	sozlukler
tarim	تارم	sozlukler
tariye	تعریه	sozlukler
tasaffüh	تصفح	sozlukler
tasfik	تصفیق	sozlukler
tasir	تعصیر	sozlukler
tasmim	تصمیم	sozlukler
tasrif	تصریف	sozlukler
tastih	تسطیح	sozlukler
tastir	تسطیر	sozlukler
tavali'	طوالع	sozlukler
tavas	طواس	sozlukler
tavaşi	طواشی	sozlukler
tavik	تعویق	sozlukler
taviz	تعویذ	sozlukler
tayi'	طایع	sozlukler
tayib	تعییب	sozlukler
tayin	تعیین	sozlukler
tayir	تعییر	sozlukler
tayran	طیران	sozlukler
tazim	تعظیم	sozlukler
taziye	تعزیه	sozlukler
tağaz	تعز	sozlukler
tağrib	تغریب	sozlukler
tağşiş	تغشیش	sozlukler
taşir	تعشیر	sozlukler
tchermik	چرمیك	sozlukler
teberri	تبری	sozlukler
tebertum	تبرطم	sozlukler
teberzîn	تبرزین	sozlukler
tebriz	تبریز	sozlukler
tebt	تبت	sozlukler
teca'ud	تجعد	sozlukler
tecdî'	تجدیع	sozlukler
tecr	تجر	sozlukler
tecrim	تجریم	sozlukler
teczim	تجذیم	sozlukler
tedahul	تداخل	sozlukler
tedellük	تدلك	sozlukler
tedemmü'	تدمع	sozlukler
tedemmül	تدمل	sozlukler
tederrüc	تدرج	sozlukler
tedlik	تدلیك	sozlukler
tedlîs	تدلیس	sozlukler
tedmi'	تدمیع	sozlukler
tedmic	تدمیج	sozlukler
tedmiye	تدمیه	sozlukler
teessi	تأسی	sozlukler
teezzi	تأذی	sozlukler
tefattun	تفطن	sozlukler
tefaıl	تفاعیل	sozlukler
tefci	تفجیع	sozlukler
tefeccür	تفجر	sozlukler
tefekkük	تفكك	sozlukler
tefekkün	تفكن	sozlukler
tefrit	تفریط	sozlukler
tefvît	تفویت	sozlukler
tehalhul	تخلخل	sozlukler
tehallüb	تحلب	sozlukler
tehamük	تحامق	sozlukler
tehaşşür	تحشر	sozlukler
tehcin	تهجین	sozlukler
tehdin	تهدین	sozlukler
tekaddes	تقدس	sozlukler
tekammül	تقمل	sozlukler
tekarrub	تقرب	sozlukler
tekattur	تقطر	sozlukler
tekaza	تقاضا	sozlukler
tekeffüf	تكفف	sozlukler
tekfur dağı	تكفور طاغی	sozlukler
tekman	تكمان	sozlukler
tekmile	تكمله	sozlukler
tekrur	تكرور	sozlukler
tektib	تكتیب	sozlukler
tekveş	تكوش	sozlukler
tekvîr	تكویر	sozlukler
tekâfî	تكافی	sozlukler
telahi	تلاهی	sozlukler
telakki	تلقی	sozlukler
telbib	تلبیب	sozlukler
telebbut	تلبط	sozlukler
telebbün	تلبن	sozlukler
telehhi	تلهی	sozlukler
telhiye	تلهیه	sozlukler
telhıs	تلخیص	sozlukler
telviye	تلویه	sozlukler
temenna	تمنا	sozlukler
temin	تأمین	sozlukler
temlis	تملیس	sozlukler
temliye	تملیه	sozlukler
temrih	تمریخ	sozlukler
temzic	تمزیج	sozlukler
tencis	تنجیس	sozlukler
tenebbu'	تنبع	sozlukler
teneffuh	تنفح	sozlukler
tenevvüm	تنوم	sozlukler
tenge	تنكه	sozlukler
tenvir	تنویر	sozlukler
tenşûy	تنشوی	sozlukler
ter'ib	ترعیب	sozlukler
terasuf	تراصف	sozlukler
terebbî	تربی	sozlukler
tereccül	ترجل	sozlukler
tereffüh	ترفه	sozlukler
teremmüm	ترمم	sozlukler
terfil	ترفیل	sozlukler
terzik	ترزیق	sozlukler
terâcüm	تراجم	sozlukler
tesa'ud	تصعد	sozlukler
tesavir	تصاویر	sozlukler
tesaül	تسائل	sozlukler
tesellül	تسلل	sozlukler
tesennün	تسنن	sozlukler
tesvik	تسویك	sozlukler
tesâvüm	تساوم	sozlukler
tetabu'	تتابع	sozlukler
tevabi	توابع	sozlukler
tevafuk	توافق	sozlukler
tevatür	تواتر	sozlukler
tevbih	توبیخ	sozlukler
teverrüd	تورد	sozlukler
tevfid	توفید	sozlukler
tevtid	توتید	sozlukler
tevtîr	توتیر	sozlukler
tezadd	تضاد	sozlukler
tezahüm	تزاحم	sozlukler
tezbib	تزبیب	sozlukler
tezmir	تزمیر	sozlukler
teznid	تزنید	sozlukler
tezvik	تذویق	sozlukler
teşyid	تشیید	sozlukler
therme	ترمه	sozlukler
ticfaf	تجفاف	sozlukler
timor	تیمور	sozlukler
timour	تیمور	sozlukler
timur hisar	تیمور حصار	sozlukler
tirb	ترب	sozlukler
tirek	تیرك	sozlukler
tirnova	طرنوی	sozlukler
tizkâr	تذكار	sozlukler
tomoriçe	طوموریجه	sozlukler
tortose	طرطوس	sozlukler
tortum	طورتوم	sozlukler
touhat	توخت	sozlukler
toyran	طویران	sozlukler
travnik	تراونیك	sozlukler
tufeyl	طفیل	sozlukler
tures	ترك	sozlukler
tus	توس	sozlukler
tuti	طوطی	sozlukler
tyrana	تیران	sozlukler
tâdiye	طادیه	sozlukler
tûb	طوب	sozlukler
tûyec	تویج	sozlukler
tüfni	تفنی	sozlukler
türs	ترس	sozlukler
tıba'	طباع	sozlukler
tıla	طلا	sozlukler
ufunet	عفونت	sozlukler
ufusat	عفوصت	sozlukler
uhciyye	احجیه	sozlukler
uhdûd	اخدود	sozlukler
ukala	عقلا	sozlukler
ulanmak	اولانمق	sozlukler
ulema	علما	sozlukler
ulu borlu	اولو بورلی	sozlukler
ulya	علیا	sozlukler
unkud	عنقود	sozlukler
unvan	عنوان	sozlukler
urcûce	ارجوجه	sozlukler
us'us	عصعوص	sozlukler
utarid	عطارد	sozlukler
utum	اطم	sozlukler
uyub	عیوب	sozlukler
uyun	عیون	sozlukler
uzantı	اوزندی	sozlukler
uzeyr	عذیر	sozlukler
uzm	عظم	sozlukler
uzunca ova	اوزونجه اوه	sozlukler
uşnan	اشنان	sozlukler
vadi şerkı	وادی شرقی	sozlukler
vahid	واحد	sozlukler
vakfı kebir	وقف كبیر	sozlukler
vale	واله	sozlukler
vardar	واردار	sozlukler
varna	وارنه	sozlukler
vehvehe	وهوهه	sozlukler
venus	ونوس	sozlukler
volcitrin	ولچترین	sozlukler
yakova	یاقوه	sozlukler
yaktîn	یقطین	sozlukler
yalvac	یلواج	sozlukler
yalve	یالوه	sozlukler
yanboli	یانبولی	sozlukler
yaniye	یانیه	sozlukler
yekî	یكی	sozlukler
yeni pazar	یكی بازار	sozlukler
yeni varoch	یكی واروش	sozlukler
yeni zağra	یكی زغره	sozlukler
yozgat	یوزغات	sozlukler
yâsemîn	یاسمین	sozlukler
yâğî	یاغی	sozlukler
za'feran	زعفران	sozlukler
za'r	ذعر	sozlukler
zac	زاج	sozlukler
zadrima	زادریمه	sozlukler
zahif	زاحف	sozlukler
zahou	زاخو	sozlukler
zahık	ضاحك	sozlukler
zalf	ظلف	sozlukler
zalike	ذلك	sozlukler
zamâyim	ضمایم	sozlukler
zarouşad	زاروشاد	sozlukler
zart	ضرط	sozlukler
zavahir	ظواهر	sozlukler
ze	ذ	sozlukler
zebad	زباد	sozlukler
zeban	زبان	sozlukler
zebane	زبانه	sozlukler
zebel	زبل	sozlukler
zeberdest	زبردست	sozlukler
zebâbe	زبابه	sozlukler
zefer	ذفر	sozlukler
zehaf	زخاف	sozlukler
zeham	زخام	sozlukler
zeir	زئیر	sozlukler
zeka	ذكا	sozlukler
zelel	زلل	sozlukler
zelk	زلق	sozlukler
zelm	زلم	sozlukler
zenane	زنانه	sozlukler
zenbek	زنبق	sozlukler
zengar	زنگار	sozlukler
zengele	زنگله	sozlukler
zengübâr	زنگبار	sozlukler
zenh	زنخ	sozlukler
zeravend	زراوند	sozlukler
zerdeçob	زرده‌چوب	sozlukler
zerduz	زردوز	sozlukler
zere	زره	sozlukler
zerine	زرینه	sozlukler
zerka	زرقا	sozlukler
zernih	زرنیخ	sozlukler
zerârî	ذراری	sozlukler
zerîr	زریر	sozlukler
zevacir	زواجر	sozlukler
zeyle	زیله	sozlukler
zic	زیج	sozlukler
zihaf	زحاف	sozlukler
zihni	ذهنی	sozlukler
zinet	زینت	sozlukler
zirin	زیرین	sozlukler
ziyad	زیاد	sozlukler
zuhuk	زهوق	sozlukler
zuhul	زحل	sozlukler
zuhur	ظهور	sozlukler
zumur	ضمور	sozlukler
zur	زور	sozlukler
zübeyd	زبید	sozlukler
zühhad	زهاد	sozlukler
zühri	زهری	sozlukler
zül kadriye	ذوالقدریه	sozlukler
zülal	زلال	sozlukler
zülali	زلالی	sozlukler
zülküf	ذوالكفل	sozlukler
züncüfr	زنجفر	sozlukler
zürare	ذراره	sozlukler
zılleteyn	ظلتین	sozlukler
zıman	ضمان	sozlukler
zınnet	ضنت	sozlukler
âvân	آوان	sozlukler
çargah	چاركاه	sozlukler
çarpa	چارپا	sozlukler
çarpare	چارپاره	sozlukler
çarup	چاروب	sozlukler
çarşeb	چارشب	sozlukler
çasar	چاسار	sozlukler
çaç	چاچ	sozlukler
çağane	چغانه	sozlukler
çağnus	چاغنوس	sozlukler
çekân	چكان	sozlukler
çekâçek	چكاچك	sozlukler
çerde	چرده	sozlukler
çevenkeş	چونكش	sozlukler
çeşide	چشیده	sozlukler
çeşnî	چشنی	sozlukler
çifuta	چفوطه	sozlukler
çoban adası	چوبان اطه‌سی	sozlukler
çoruk su	چوروك صو	sozlukler
çur	چر	sozlukler
çırağan	چراغان	sozlukler
î'tisaf	اعتساف	sozlukler
îhân	ایهان	sozlukler
ödemiş	اوده‌مش	sozlukler
öndul	اوكدول	sozlukler
ünsa	انثا	sozlukler
ırak	ایراق	sozlukler
ırmak	ایرمق	sozlukler
ıslanmak	اصلانمق	sozlukler
ıslık	اصیلق	sozlukler
ısmarlama	اصمارلامه	sozlukler
ısmarlamak	اصمارلامق	sozlukler
ısıcak	اصیجاق	sozlukler
ısınmak	اصینمق	sozlukler
ısırgan	اصرغان	sozlukler
ısırmak	اصرمق	sozlukler
ısırık	اصریق	sozlukler
ısıtma	اصیتمه	sozlukler
ısıtmak	اصیتمق	sozlukler
ıtab	عینتاب	sozlukler
şa'ri	شعری	sozlukler
şa'şaa	شعشعه	sozlukler
şab denizi	شاب دكزی	sozlukler
şaban evzi	شعبان اوزی	sozlukler
şadi	شادی	sozlukler
şae	شاء	sozlukler
şahi	شاهی	sozlukler
şahinşah	شاهنشاه	sozlukler
şahtere	شاهتره	sozlukler
şari'	شار	sozlukler
şarika	شارقه	sozlukler
şariköyü	شاركویی	sozlukler
şarki rumeli	شرقی روم ایلی	sozlukler
şatb	شطب	sozlukler
şati	شاطیٖ	sozlukler
şatr	شطر	sozlukler
şebahet	شباهت	sozlukler
şebdiz	شبدیذ	sozlukler
şebh	شبه	sozlukler
şebrem	شبرم	sozlukler
şegar	شغر	sozlukler
şehabüddin	شهاب الدین	sozlukler
şehba	شهبا	sozlukler
şehi	شهی	sozlukler
şehir köyü	شهر كویی	sozlukler
şehla	شهلا	sozlukler
şehm	شحم	sozlukler
şehri	شهری	sozlukler
şehrûd	شهرود	sozlukler
şehzade	شهزاده	sozlukler
şekib	شكیب	sozlukler
şekva	شكوا	sozlukler
şekıf	شقیف	sozlukler
şelel	شلل	sozlukler
şema	شمعه	sozlukler
şeml	شمل	sozlukler
şemmas	شماس	sozlukler
şen'	شن	sozlukler
şengerf	شنكرف	sozlukler
şentere	شنتره	sozlukler
şerare	شراره	sozlukler
şeraset	شراست	sozlukler
şerayi'	شرایع	sozlukler
şeria	شریعه	sozlukler
şerkıye	شرقیه	sozlukler
şervan	شروان	sozlukler
şerâyıt	شرایط	sozlukler
şetr	شتر	sozlukler
şevagıl	شواغل	sozlukler
şevahin	شواهین	sozlukler
şevari'	شوارع	sozlukler
şevâmil	شوامل	sozlukler
şeyhli	شیخلو	sozlukler
şeytan	شیطان	sozlukler
şezr	شذر	sozlukler
şiba'	شباع	sozlukler
şifa	شفا	sozlukler
şikari	شكاری	sozlukler
şira	شرا	sozlukler
şira'	شرا	sozlukler
şirak	شراك	sozlukler
şiraz	شیراز	sozlukler
şirdan	شیردان	sozlukler
şirküh	شیركوه	sozlukler
şita	شتا	sozlukler
şiyak	شیاق	sozlukler
şiyat	شیاط	sozlukler
şubra	شبرا	sozlukler
şum	شوم	sozlukler
şuride	شوریده	sozlukler
şurrâh	شراح	sozlukler
şuun	شؤن	sozlukler
şuyu'	شیوع	sozlukler
şuyuh	شیوخ	sozlukler
şuğul	شغل	sozlukler
şâyigânî	شایگانی	sozlukler
şüheda	شهدا	sozlukler
şükran	شكران	sozlukler
şükufe	شكوفه	sozlukler
şın	ش	sozlukler
a - e	آ - ا	sozlukler
ab ankur	آب انگور	sozlukler
abab	آباب	sozlukler
abadani	آبادانی	sozlukler
abaet	ابائت	sozlukler
abanuz	آبانوز	sozlukler
abat	آباط	sozlukler
abaza	آبازا	sozlukler
abecc	ابج	sozlukler
abenanced	اباعن‌جد	sozlukler
absent	آبسنت	sozlukler
absuvar	آبسوار	sozlukler
abı ateşmizac	آب آتشمزاج	sozlukler
abı ateşpare	آب آتشپاره	sozlukler
abı ateşrank	آب آتشرنك	sozlukler
abı baka	آب بقا	sozlukler
abı hasret	آب حسرت	sozlukler
abı şirin	آب شیرین	sozlukler
acibe	عجیبه	sozlukler
acin	آجن	sozlukler
adid	عدید	sozlukler
afarit	عفاریت	sozlukler
aferninde	آفریننده	sozlukler
afik	آفك	sozlukler
agahi-agehi	آگاهیٖ، آگاهیٖ	sozlukler
ahen can	آهن‌جان	sozlukler
ahencüft, ahengav	اهن‌جفت، اهن‌گاو	sozlukler
ahendil, aheneyndil	آهندل، آهنین‌دل	sozlukler
ahenhay	آهن‌خا-ی	sozlukler
ahenrek, aheninrek	آهن‌رك، آهنین‌رك	sozlukler
ahenruba, ahenkeş	آهن‌ربا، آهن‌كش	sozlukler
ahihte	آهیخته	sozlukler
ahupeçe	آهوبچه	sozlukler
ahuşirefgen	آهو‌ی‌شیر‌افكن	sozlukler
ahvan	آهوان	sozlukler
ahvane	آهوانه	sozlukler
akendeküş	آكنده‌گوش	sozlukler
akiletü-l ekbad	آكلةالاكباد	sozlukler
akin	آگین	sozlukler
aktirist	اقتریس	sozlukler
akur	عقور	sozlukler
alab	آلب	sozlukler
alamane	آلامانه	sozlukler
albümin	آلبومین	sozlukler
alesta-aleste	آلستا، آلسته	sozlukler
ali ha mim-zevat-i hamim	آل‌حم، ذوات حامیم	sozlukler
alire	آلیوره	sozlukler
aliyye	علی	sozlukler
alkol	آلقول	sozlukler
almanag	آلماناق	sozlukler
aludgi	آلودگیٖ	sozlukler
alüde saman-alüdedamen	آلوده‌دامان، آلوده‌دامن	sozlukler
alüminyum	آلومینیوم	sozlukler
amadeki	آمادگیٖ	sozlukler
amag	آماق	sozlukler
amaçgah, amaçgeh	آماجگاه، آماجگه	sozlukler
amedüreft, amedüşd	آمدورفت	sozlukler
amerikan bezi	آمریقان. به‌زی	sozlukler
amin havan	آمیٖن‌خوان	sozlukler
amine	آمنه	sozlukler
amirzende	آمرزنده	sozlukler
amirzide	آمرزیده	sozlukler
amizemuy	آمیزه‌مو-ی	sozlukler
amizemuyi	آمیزه‌موییٖ	sozlukler
amiğ	آمیغ	sozlukler
amüzkari	آموزكاریٖ	sozlukler
amüğ	آموغ	sozlukler
an bean, an fean	آن‌بان، انافانا	sozlukler
anae	آناء	sozlukler
andelib	عندلیب	sozlukler
anifen	انفا	sozlukler
anile	آنیله	sozlukler
anin	آنین	sozlukler
antimun	انتیمون	sozlukler
anı	انیٖ	sozlukler
ariza	عریضه	sozlukler
aruğ	اروغ	sozlukler
arziz	آرزیز	sozlukler
asare	آساره	sozlukler
avar	اوارا	sozlukler
avarde	اورده	sozlukler
avaregi	اوارگی	sozlukler
avarye	اواریه	sozlukler
averdegah, averdegeh	اوردگاه	sozlukler
avizei güş	آویزه‌گوش	sozlukler
ayincem	آیین‌جم	sozlukler
ayineidan	آیینه‌دان	sozlukler
ayineidar	آیینه‌دار	sozlukler
azuz	عضوض	sozlukler
aül	آئول	sozlukler
b	ب	sozlukler
babek	بابك	sozlukler
badpeyma	بادپیما	sozlukler
badser	بادسر	sozlukler
badye	بادیه	sozlukler
bahem	باهم	sozlukler
bahte	باخته	sozlukler
bakire	باكره	sozlukler
bakıl	باقل	sozlukler
balaver	بالاور	sozlukler
barac	باراج	sozlukler
basil	باسل	sozlukler
basim	باسم	sozlukler
batir	باتر	sozlukler
bazdar	بازدار	sozlukler
bağvan	باغوان	sozlukler
bağçe	باغچه	sozlukler
başura	باشوره	sozlukler
bedad	بداد	sozlukler
bedd	بط	sozlukler
bedih	بدیخ	sozlukler
bedil	بدیل	sozlukler
bedram	بدرام	sozlukler
behaha	بحاحه	sozlukler
behemzede	بهمزده	sozlukler
behite	بهیته	sozlukler
behl	بهل	sozlukler
behne	بهنه	sozlukler
behr	بحر	sozlukler
behz	بهز	sozlukler
behş	بهش	sozlukler
bekil	بكیل	sozlukler
belbele	بلبله	sozlukler
bell	بل	sozlukler
benadik	بنادق	sozlukler
bendide	بندیده	sozlukler
benna	بناء	sozlukler
benne	بنه	sozlukler
benş	بنش	sozlukler
bera	بره	sozlukler
beraverde	براورده	sozlukler
berbad	برباد	sozlukler
berbar	بربار	sozlukler
berbeh	بربخ	sozlukler
berced	برجد	sozlukler
berdaşte	برداشته	sozlukler
berdi	بردیٖ	sozlukler
berendahte	برانداخته	sozlukler
berendaz	برانداز	sozlukler
berh	برخ	sozlukler
berhaste	برخاسته	sozlukler
berheme	برهمه	sozlukler
berid	برید	sozlukler
berkuk	برقوق	sozlukler
berm	برم	sozlukler
bermek	برمك	sozlukler
berniye	برنیه	sozlukler
berri	بریٖ	sozlukler
berze	برزه	sozlukler
berzin	برزین	sozlukler
berğus	برغوس	sozlukler
berşeme	برشمه	sozlukler
besale	بصله	sozlukler
besat	بساط	sozlukler
besk	بثق	sozlukler
bessam	بسام	sozlukler
besta	بسط	sozlukler
bestegi	بستگیٖ	sozlukler
betra	بتراء	sozlukler
bett	بت	sozlukler
beva	بوع	sozlukler
bevah	بواح	sozlukler
bevari	بواریٖ	sozlukler
beyhan	بیحان	sozlukler
beyyakellah	بیاك‌الله	sozlukler
bezbeze	بذبذه	sozlukler
beğayet	بغایت	sozlukler
bican	بیجان	sozlukler
bidal	بدال	sozlukler
bie	بئیه	sozlukler
bigah	بیگاه	sozlukler
binab	بیناب	sozlukler
birah	بیراه	sozlukler
biraz	براز	sozlukler
birhaş	برخاش	sozlukler
birsim	برسیم	sozlukler
biruz	بیروز	sozlukler
bisr	بثر	sozlukler
bitab	بیٖ‌تاب	sozlukler
bizer	بیزر	sozlukler
biğal	بغال	sozlukler
buhara	بخارا	sozlukler
burha	برحه	sozlukler
burka	برقع	sozlukler
bühme	بهمه	sozlukler
bünk	بنك	sozlukler
bünn	بن	sozlukler
bürad	براد	sozlukler
bürsen	برثن	sozlukler
cadü	جادو	sozlukler
cahıd	جاحد	sozlukler
cami	جامع	sozlukler
canan, canane	جانان، جانانه	sozlukler
canlüs	جانلوس	sozlukler
cead	جعد	sozlukler
ceali	جعلی	sozlukler
cebabira	جبابره	sozlukler
celae	جلاء	sozlukler
celal,celalet	جلال، جلالت	sozlukler
cem'i	جمیع	sozlukler
cema	جمع	sozlukler
cemıyyet	جمعیت	sozlukler
cera	جرع	sozlukler
ceras	جرس	sozlukler
cevami	جوامع	sozlukler
cevelân, cevlan	جولان، جولان	sozlukler
cevrab	جبرب	sozlukler
cevzq	جوزاء	sozlukler
cezaa	جزاء	sozlukler
cezea	جزع	sozlukler
cezira	جزیره	sozlukler
cezl	جزل	sozlukler
cilae	جلاء	sozlukler
coy	جوی	sozlukler
cüa	جوع	sozlukler
cühhal,cühela	جهال، جهلاء	sozlukler
cülesa	جلساء	sozlukler
cümadel ula, cümadel ahira	جمادی الاولی، جمادی الاخره	sozlukler
cüra	جرعه	sozlukler
cürh	جرح	sozlukler
cüstecoy	جستجو - ی	sozlukler
cüzüvir	جذور	sozlukler
damiğa	دامغه	sozlukler
dema	دمع	sozlukler
demgüzar	دمگذار	sozlukler
denie	دنیئه	sozlukler
devalib	دوالب	sozlukler
devar	دوار	sozlukler
dilir	دلیر	sozlukler
diyat	دیات	sozlukler
eabel	اعبل	sozlukler
eacam	اعجام	sozlukler
eacel	اعجل	sozlukler
eacemi	اعجمیٖ	sozlukler
eacez	اعجز	sozlukler
eada	اعدی	sozlukler
eada'	اعداء	sozlukler
eadaaf	اعطاف	sozlukler
eadad	اعداد	sozlukler
eadaf	اعطف	sozlukler
eadel	اعدل	sozlukler
eafer	اعفر	sozlukler
eafet	اعفت	sozlukler
eagab	اعقاب	sozlukler
eagal	اعقل	sozlukler
eakef	اعكف	sozlukler
eala	اعلی	sozlukler
ealaf	اعلاف	sozlukler
ealem	اعلم	sozlukler
eamag	اعماق	sozlukler
eamal	اعمال	sozlukler
eamam	اعمام	sozlukler
eamar	اعمار	sozlukler
eamer	اعمر	sozlukler
eamide	اعمده	sozlukler
eanab	اعناب	sozlukler
eanaf	اعناء	sozlukler
eanan	اعنان	sozlukler
earab	اعراب	sozlukler
earabi	اعرابیٖ	sozlukler
earaf	اعراف	sozlukler
earam	اعرم	sozlukler
earaz	اعراض	sozlukler
earec	اعرج	sozlukler
earef	اعرف	sozlukler
earib	اعاریب	sozlukler
easal	اعصل	sozlukler
easam	اعصام	sozlukler
easar	اعصار	sozlukler
easer	اعسر	sozlukler
easır	اعاصیر	sozlukler
eavam	اعوام	sozlukler
eavan	اعوان	sozlukler
eavec	اعوج	sozlukler
eaver	اعور	sozlukler
eavez	اعوض	sozlukler
eayad	اعیاد	sozlukler
eayan	اعیان	sozlukler
eayar	اعیار	sozlukler
eayen	اعین	sozlukler
eaza'	اعضاء	sozlukler
eazad	اعضاد	sozlukler
eazaiyyet	اعظمیت	sozlukler
eazar	اعدار	sozlukler
eazel	اعزل	sozlukler
eaşa	اعشی	sozlukler
eaşab	اعشاب	sozlukler
eaşar	اعشار	sozlukler
eaşari	اعشاری	sozlukler
ebadid	ابادید	sozlukler
ebadıh	اباطیح	sozlukler
ebazir	ابازیر	sozlukler
ebaıd	اباعد	sozlukler
ebb	اب	sozlukler
ebbal	ابال	sozlukler
ebbale	اباله	sozlukler
ebbaz	اباز	sozlukler
ebcedhavan	ابجدخوان	sozlukler
ebcel	ابجل	sozlukler
ebcer	ابجر	sozlukler
eberr	ابر	sozlukler
ebhas,ebhur	ابحار	sozlukler
ebhem	ابهم	sozlukler
ebkemiyyet	ابكمیت	sozlukler
eblec	ابلج	sozlukler
eblefiribane	ابله‌فریبانه	sozlukler
eblefirid	ابله‌فریب	sozlukler
ebleg	ابلق	sozlukler
eblehane	ابلهانه	sozlukler
eblehi,eblehiyyet	ابلهیٖ، ابلهیت	sozlukler
eblem	ابلم	sozlukler
ebleme	ابلمه	sozlukler
ebleğ	ابلغ	sozlukler
ebnai	ابناء	sozlukler
ebnaüddehaliz	ابناء‌الدهالیز	sozlukler
ebrancen	ابرنجن	sozlukler
ebruferahi	ابروفراخیٖ	sozlukler
ebrumiğ	ابرومیغ	sozlukler
ebubekir	ابوبكر	sozlukler
