# Kendi eklediginiz kelimeler buraya. Format: latin<TAB>osmanlica<TAB>koken(ar/fa/tr)
# örnek satir: (basindaki # isaretini kaldirip kullanin)
# yeni_kelime	يڭی كلمه	tr
bahîl	بخيل	ar
bahş	بخش	fa
bahşiş	بخشش	fa
bahşâyiş	بخشایش	fa
bakâyâ	بقایا	ar
bakıyye	بقيه	ar
basar	بصر	ar
bast	بسط	ar
basîret	بصيرت	ar
basît	بسيط	ar
batn	بطن	ar
batt	بط	ar
battal	بطال	ar
batâet	بطائت	ar
batî	بطی	ar
batın	بطن	ar
bayrakdâr	بيدقدار	ar-fa
baytâr	بيطار	ar
bazargâh	بازارگاه	fa
bazen	بعضا	ar
bazı	بعض	ar
baîd	بعيد	ar
bağal	بغل	fa
bağçevan	باغچوان	fa
be's	بأس	ar
bebr	ببر	fa
becâ	بجا	fa
becâyiş	بجایش	fa
bed	بد	fa
bedahd	بدعهد	fa-ar
bedahlâk	بداخلاق	fa-ar
bedbaht	بدبخت	fa
bedbîn	بدبين	fa
bedbû	بدبو	fa
bedcins	بدجنس	fa-ar
beddil	بددل	fa
bedduâ	بددعا	fa-ar
bedelât	بدلات	ar
bedendîş	بداندیش	fa
bedenen	بدنا	ar
bedestân	بزستان	fa
bedeviyyet	بدویت	ar
bedevî	بدوی	ar
bedfercâm	بدفرجام	fa
bedgû	بدگو	fa
bedgüher	بدگهر	fa
bedhâh	بدخواه	fa
bedhû	بدخو	fa
bedkâr	بدکار	fa
bedlikâ	بدلقا	fa-ar
bedmest	بدمست	fa
bedmestî	بدمستی	fa
bedmihr	بدمهر	fa
bedmâye	بدمایه	fa
bednigâh	بدنگاه	fa
bednihâd	بدنهاد	fa
bednâm	بدنام	fa
bedr	بدر	ar
bedre	بدره	ar
bedreftâr	بدرفتار	fa
bedreka	بدرقه	fa
bedrûd	بدرود	fa
bedsigâl	بدسگال	fa
bedsirişt	بدسرشت	fa
bedsîret	بدسيرت	fa-ar
bedter	بدتر	fa
bedtıynet	بدطينت	fa-ar
bedzebân	بدزبان	fa
bedzehre	بدزهره	fa
bedâvet	بداوت	ar
bedâvâz	بدآواز	fa
bedâyi'	بدایع	ar
bedî'	بدیع	ar
bedîa	بدیعه	ar
bedîhe	بدیهه	ar
bedîhî	بدیهی	ar
begâyet	بغایت	fa-ar
behbûd	بهبود	fa
behcet	بهجت	ar
behem	بهم	fa
behemehâl	بهه حال	fa-ar
beher	بهر	fa
behic	بهيج	ar
behiyye	بهيه	ar
behişt	بهشت	fa
behiştî	بهشتی	fa
behmân	بهمان	fa
behre	بهره	fa
behremend	بهرمند	fa
beht	بهت	ar
behâ	بها	fa
behîmiyyet	بهيميت	ar
behîmî	بهيمی	ar
bekrî	بکری	ar
beksimat	بکسمات	fa
bekâ	بقا	ar
bekâm	بکام	fa
bekâya	بقایا	ar
bel	بل	ar
bel'	بلع	ar
belde	بلده	ar
beled	بلد	ar
belediyye	بلدیه	ar
beledî	بلدی	ar
beliyyât	بليات	ar
belki	بلکه	fa-ar
belâ	بلا	ar
belâdet	بلادت	ar
